target,market_type,semantic_weight,threshold,threshold_high,threshold_side,question,end_date,closed,active,yes_price,volume,liquidity,market_id,slug
BTC,close_threshold,1.0,60000.0,,above,"Bitcoin above $60,000 on April 30?",2024-04-30T12:00:00Z,True,True,1.0,32449.21,0.0,501020,bitcoin-above-60000-on-april-30
ETH,close_threshold,1.0,3000.0,,above,"Ethereum above $3,000 on April 30?",2024-04-30T12:00:00Z,True,True,0.0,16777.01,0.0,501021,ethereum-above-3000-on-april-30
BTC,barrier_threshold,0.576,60000.0,,below,Will Bitcoin dip below $60k before June?,2024-05-31T12:00:00Z,True,True,1.0,12926.08,0.0,501184,will-bitcoin-dip-below-60k-before-june
BTC,barrier_threshold,0.576,55000.0,,below,Will Bitcoin dip below $55k before June?,2024-05-31T12:00:00Z,True,True,0.0,119283.43,0.0,501185,will-bitcoin-dip-below-55k-before-june
BTC,barrier_threshold,0.576,50000.0,,below,Will Bitcoin dip below $50k before June?,2024-05-31T12:00:00Z,True,True,0.0,62196.83,0.0,501186,will-bitcoin-dip-below-50k-before-june
BTC,barrier_threshold,0.576,45000.0,,below,Will Bitcoin dip below $45k before June?,2024-05-31T12:00:00Z,True,True,0.0,89744.11,0.0,501187,will-bitcoin-hit-45k-before-june
BTC,close_threshold,1.0,60000.0,,above,"Bitcoin above $60,000 on May 10?",2024-05-10T12:00:00Z,True,True,1.0,54952.75,0.0,501264,bitcoin-above-60000-on-may-10
ETH,close_threshold,1.0,3000.0,,above,"Ethereum above $3,000 on May 10?",2024-05-10T12:00:00Z,True,True,0.0,29784.64,0.0,501266,ethereum-above-3000-on-may-10
BTC,record_or_race,0.288,,,,"Will Bitcoin reach $65,000 in May?",2024-05-31T12:00:00Z,True,True,1.0,39418.97,0.0,501274,will-bitcoin-reach-65000-in-may
BTC,record_or_race,0.288,,,,"Will Bitcoin reach $70,000 in May?",2024-05-31T12:00:00Z,True,True,1.0,69468.15,0.0,501275,will-bitcoin-reach-70000-in-may
BTC,record_or_race,0.288,,,,"Will Bitcoin reach $75,000 in May?",2024-05-31T12:00:00Z,True,True,0.0,139630.83,0.0,501276,will-bitcoin-reach-75000-in-may
BTC,record_or_race,0.288,,,,"Will Bitcoin reach $80,000 in May?",2024-05-31T12:00:00Z,True,True,0.0,57494.92,0.0,501277,will-bitcoin-reach-80000-in-may
ETH,institutional_proxy,0.11760000000000001,,,,Ethereum ETF approved in 2024?,2024-12-31T12:00:00Z,True,True,1.0,189736.45,0.0,501451,ethereum-etf-approved-in-2024
ETH,semantic_proxy,0.054,,,,Solana flips ETH in daily fees in May?,2024-05-31T12:00:00Z,True,True,0.0,120473.21,0.0,501504,solana-flips-eth-in-daily-fees-in-may
ETH,close_threshold,1.0,3000.0,,above,"Ethereum above $3,000 on May 17?",2024-05-17T12:00:00Z,True,True,1.0,64316.97,0.0,501529,ethereum-above-3000-on-may-17
BTC,close_threshold,1.0,60000.0,,above,"Bitcoin above $60,000 on May 17?",2024-05-17T12:00:00Z,True,True,1.0,13483.77,0.0,501530,bitcoin-above-60000-on-may-17
BTC,close_threshold,1.0,65000.0,,above,"Bitcoin above $65,000 on May 24?",2024-05-24T12:00:00Z,True,True,1.0,20252.4,0.0,501657,bitcoin-above-65000-on-may-24
ETH,close_threshold,1.0,3000.0,,above,"Ethereum above $3,000 on May 24?",2024-05-24T12:00:00Z,True,True,1.0,17568.2,0.0,501658,ethereum-above-3000-on-may-24
ETH,semantic_proxy,0.054,,,,Will ETH hit $4k by Friday?,2024-05-24T12:00:00Z,True,True,0.0,176171.84,0.0,501717,will-ethereum-hit-4k-by-friday
BTC,record_or_race,0.288,,,,Bitcoin all time high by Friday?,2024-05-24T12:00:00Z,True,True,0.0,29535.32,0.0,501720,bitcoin-all-time-high-by-friday-may-24
ETH,record_or_race,0.288,,,,Ethereum all time high in May?,2024-05-31T12:00:00Z,True,True,0.0,215440.96,0.0,501722,ethereum-all-time-high-in-may-2024
ETH,close_threshold,1.0,3700.0,,above,"Ethereum above $3,700 on May 31?",2024-05-31T12:00:00Z,True,True,1.0,96669.52,0.0,501806,ethereum-above-3700-on-may-31
BTC,close_threshold,1.0,68000.0,,above,"Bitcoin above $68,000 on May 31?",2024-05-31T12:00:00Z,True,True,0.0,101895.58,0.0,501807,bitcoin-above-68000-on-may-31
ETH,semantic_proxy,0.054,,,,Will ETH hit $4k by Friday?,2024-06-01T12:00:00Z,True,True,0.0,25440.52,0.0,501847,will-eth-hit-4k-by-friday-jun-1
ETH,institutional_proxy,0.11760000000000001,,,,Ethereum ETF begins trading by July 4?,2024-07-03T12:00:00Z,True,True,0.0,529779.05,0.0,501849,ethereum-etf-begins-trading-by-july-4
ETH,close_threshold,1.0,3800.0,,above,"Ethereum above $3,800 on June 7?",2024-06-07T12:00:00Z,True,True,0.0,58065.53,0.0,501916,ethereum-above-3800-on-june-7
BTC,close_threshold,1.0,69000.0,,above,"Bitcoin above $69,000 on June 7?",2024-06-07T12:00:00Z,True,True,1.0,87385.47,0.0,501918,bitcoin-above-69000-on-june-7
ETH,semantic_proxy,0.054,,,,Solana flips ETH in daily fees in June?,2024-06-30T12:00:00Z,True,True,0.0,114492.79,0.0,501919,solana-flips-eth-in-daily-fees-in-june
BTC,record_or_race,0.288,,,,"Will Bitcoin reach $70,000 in June?",2024-06-30T12:00:00Z,True,True,1.0,19562.02,0.0,501976,will-bitcoin-reach-70000-in-june
BTC,record_or_race,0.288,,,,"Will Bitcoin reach $75,000 in June?",2024-06-30T12:00:00Z,True,True,0.0,109252.01,0.0,501977,will-bitcoin-reach-75000-in-june
BTC,record_or_race,0.288,,,,"Will Bitcoin reach $80,000 in June?",2024-06-30T12:00:00Z,True,True,0.0,57452.74,0.0,501978,will-bitcoin-reach-80000-in-june
ETH,record_or_race,0.288,,,,Ethereum all time high in June?,2024-06-30T12:00:00Z,True,True,0.0,106618.01,0.0,501979,ethereum-all-time-high-in-june
BTC,record_or_race,0.288,,,,Bitcoin all time high in June?,2024-06-30T12:00:00Z,True,True,0.0,97627.81,0.0,502112,bitcoin-all-time-high-in-june
ETH,semantic_proxy,0.054,,,,Will Ethereum hit $10k in 2024?,2024-12-31T12:00:00Z,True,True,0.0,7059606.46183396,0.0,502128,will-ethereum-hit-10k-in-2024
ETH,semantic_proxy,0.054,,,,Jenner (SOL) vs. Jenner (ETH) market cap on June 30?,2024-06-30T12:00:00Z,True,True,0.0,16675.7,0.0,502198,jenner-sol-vs-jenner-eth-higher-fdv-next-friday
BTC,close_threshold,1.0,71000.0,,above,"Bitcoin above $71,000 on June 14?",2024-06-14T12:00:00Z,True,True,0.0,66974.95,0.0,502216,bitcoin-above-71000-on-june-14
ETH,close_threshold,1.0,3800.0,,above,"Ethereum above $3,800 on June 14?",2024-06-14T12:00:00Z,True,True,0.0,40338.09,0.0,502217,ethereum-above-3800-on-june-14
ETH,semantic_proxy,0.054,,,,Next Ethereum hard fork live by end of 2024?,2024-12-31T12:00:00Z,True,True,0.0,156729.941408,0.0,502231,next-ethereum-hard-fork-live-by-end-of-2024
BTC,barrier_threshold,0.576,65000.0,,below,$BTC dips below $65k before August?,2024-07-31T12:00:00Z,True,True,1.0,6293.4,0.0,502285,btc-dips-below-65k-before-august
BTC,barrier_threshold,0.576,60000.0,,below,$BTC dips below $60k before August?,2024-07-31T12:00:00Z,True,True,1.0,40059.37,0.0,502286,btc-dips-below-60k-before-august
BTC,barrier_threshold,0.576,55000.0,,below,$BTC dips below $55k before August?,2024-07-31T12:00:00Z,True,True,1.0,67102.35,0.0,502287,btc-dips-below-55k-before-august
BTC,barrier_threshold,0.576,50000.0,,below,$BTC dips below $50k before August?,2024-07-31T12:00:00Z,True,True,0.0,420124.69,0.0,502288,btc-dips-below-50k-before-august
BTC,barrier_threshold,0.576,45000.0,,below,$BTC dips below $45k before August?,2024-07-31T12:00:00Z,True,True,0.0,231253.65,0.0,502289,btc-dips-below-45k-before-august
ETH,barrier_threshold,0.576,3000.0,,below,"Will ETH dip below $3,000 by Friday?",2024-06-14T12:00:00Z,True,True,0.0,10897.41,0.0,502317,ethereum-below-3000-by-friday-june-14
BTC,close_threshold,1.0,65000.0,,above,"Bitcoin above $65,000 on June 21?",2024-06-21T12:00:00Z,True,True,0.0,25545.46,0.0,502460,bitcoin-above-65000-on-june-21
ETH,close_threshold,1.0,3400.0,,above,"Ethereum above $3,400 on June 21?",,True,True,1.0,31640.74,0.0,502462,ethereum-above-3400-on-june-21
ETH,barrier_threshold,0.576,3000.0,,below,"Will ETH dip below $3,000 in June?",2024-06-30T12:00:00Z,True,True,0.0,79411.32,0.0,502481,will-eth-dip-below-3000-in-june
BTC,close_threshold,1.0,65000.0,,above,"Bitcoin above $65,000 on June 28?",2024-06-28T12:00:00Z,True,True,0.0,42842.58,0.0,502743,bitcoin-above-65000-on-june-28
ETH,close_threshold,1.0,3500.0,,above,"Ethereum above $3,500 on June 28?",2024-06-28T12:00:00Z,True,True,0.0,99463.7,0.0,502744,ethereum-above-3500-on-june-28
BTC,semantic_proxy,0.054,,,,Trump to speak at Bitcoin 2024 conference?,2024-07-12T12:00:00Z,True,True,1.0,17073.09,0.0,502817,trump-to-speak-at-bitcoin-2024-conference
ETH,close_threshold,1.0,3500.0,,above,"Ethereum above $3,500 on July 5?",2024-07-05T12:00:00Z,True,True,0.0,68368.86,0.0,502961,ethereum-above-3500-on-july-5
BTC,close_threshold,1.0,61000.0,,above,"Bitcoin above $61,000 on July 5?",2024-07-05T12:00:00Z,True,True,0.0,72724.45,0.0,502963,bitcoin-above-61000-on-july-5
ETH,institutional_proxy,0.11760000000000001,,,,Ethereum ETF begins trading by July 26?,2024-07-26T12:00:00Z,True,True,1.0,1063872.68,0.0,503047,ethereum-etf-begins-trading-by-july-26
BTC,record_or_race,0.288,,,,Will $BTC reach 70k in July?,2024-07-31T12:00:00Z,True,True,1.0,726109.15,0.0,503057,will-btc-reach-70k-in-july
BTC,record_or_race,0.288,,,,Will $BTC reach 75k in July?,2024-07-31T12:00:00Z,True,True,0.0,595220.28,0.0,503058,will-btc-reach-75k-in-july
BTC,record_or_race,0.288,,,,Will $BTC reach 80k in July?,2024-07-31T12:00:00Z,True,True,0.0,190438.04,0.0,503059,will-btc-reach-80k-in-july
ETH,record_or_race,0.288,,,,Will $ETH reach 3.7k in July?,2024-07-31T12:00:00Z,True,True,0.0,164556.4,0.0,503061,will-eth-reach-3pt7k-in-july
ETH,record_or_race,0.288,,,,Will $ETH reach 3.9k in July?,2024-07-31T12:00:00Z,True,True,0.0,35344.16,0.0,503062,will-eth-reach-3pt9k-in-july
ETH,record_or_race,0.288,,,,Will $ETH reach 4.1k in July?,2024-07-31T12:00:00Z,True,True,0.0,29655.01,0.0,503063,will-eth-reach-4pt1k-in-july
ETH,record_or_race,0.288,,,,Will $ETH reach 4.3k in July?,2024-07-31T12:00:00Z,True,True,0.0,58926.73,0.0,503064,will-eth-reach-4pt3k-in-july
ETH,close_threshold,1.0,3000.0,,above,"Ethereum above $3,000 on July 12?",2024-07-12T12:00:00Z,True,True,1.0,74485.51,0.0,503223,ethereum-above-3000-on-july-12
BTC,close_threshold,1.0,57000.0,,above,"Bitcoin above $57,000 on July 12?",2024-07-12T12:00:00Z,True,True,1.0,80340.17,0.0,503224,bitcoin-above-57000-on-july-12
ETH,semantic_proxy,0.054,,,,Solana flips ETH in daily fees in July?,2024-07-31T12:00:00Z,True,True,1.0,69924.06,0.0,503271,solana-flips-eth-in-daily-fees-in-july
BTC,semantic_proxy,0.054,,,,"Trump says ""mog"" at Bitcoin Conference?",2024-07-27T12:00:00Z,True,True,0.0,107817.82,0.0,503403,trump-says-mog-at-bitcoin-conference
BTC,close_threshold,1.0,58000.0,,above,"Bitcoin above $58,000 on July 19?",2024-07-19T12:00:00Z,True,True,1.0,105854.1,0.0,503416,bitcoin-above-58000-on-july-19
ETH,close_threshold,1.0,3100.0,,above,"Ethereum above $3,100 on July 19?",2024-07-19T12:00:00Z,True,True,1.0,96740.16,0.0,503417,ethereum-above-3100-on-july-19
BTC,relative_proxy,0.0912,,,,Will $BTC hit $50k or $70k first?,2024-12-31T12:00:00Z,True,True,0.0,523714.34,0.0,503419,will-btc-hit-50k-or-70k-first
BTC,semantic_proxy,0.054,,,,US government Bitcoin reserves in 2024?,2024-12-31T12:00:00Z,True,True,0.0,517592.233235994,0.0,503420,us-government-bitcoin-reserves-in-2024
BTC,semantic_proxy,0.054,,,,Will China unban Bitcoin in 2024?,2024-12-31T12:00:00Z,True,True,0.0,2255376.247623,0.0,503479,china-unban-bitcoin-in-2024
BTC,semantic_proxy,0.054,,,,Will Trump announce strategic Bitcoin reserve?,2024-07-31T12:00:00Z,True,True,1.0,2789316.2,0.0,503707,trump-to-announce-strategic-bitcoin-reserve-in-july
BTC,close_threshold,1.0,65000.0,,above,"Bitcoin above $65,000 on July 26?",2024-07-26T12:00:00Z,True,True,1.0,173594.46,0.0,503863,bitcoin-above-65000-on-july-26
ETH,close_threshold,1.0,3500.0,,above,"Ethereum above $3,500 on July 26?",2024-07-26T12:00:00Z,True,True,0.0,109423.92,0.0,503865,ethereum-above-3500-on-july-26
BTC,semantic_proxy,0.054,,,,Will Elon Musk give a speech at Bitcoin conference? ,2024-07-27T12:00:00Z,True,True,0.0,1625822.47,0.0,503983,will-elon-speak-at-bitcoin-conference
BTC,semantic_proxy,0.054,,,,Will Kamala speak at Bitcoin conference?,2024-07-27T12:00:00Z,True,True,0.0,315472.41,0.0,504056,will-kamala-give-a-speech-at-bitcoin-conference
BTC,semantic_proxy,0.054,,,,Will a presidential candidate say Mog at BTC conference?,2024-07-28T12:00:00Z,True,True,0.0,55727.66,0.0,504108,will-a-presidential-candidate-say-mog-at-btc-conference
BTC,close_threshold,1.0,68000.0,,above,"Bitcoin above $68,000 on August 2?",2024-08-02T12:00:00Z,True,True,0.0,299479.27,0.0,504209,bitcoin-above-68000-on-august-2
ETH,close_threshold,1.0,3300.0,,above,"Ethereum above $3,300 on August 2?",2024-08-02T12:00:00Z,True,True,0.0,239669.64,0.0,504210,ethereum-above-3300-on-august-2
BTC,semantic_proxy,0.054,,,,"Will Trump say ""Reserve"" during his Bitcoin Conference speech?",2024-07-27T12:00:00Z,True,True,0.0,55828.17,0.0,504235,will-trump-say-reserve-during-his-bitcoin-conference-speech
BTC,relative_proxy,0.0912,,,,"Will Trump say ""DJT"" or ""Donald Trump Coin"" during his Bitcoin Conference speech?",2024-07-27T12:00:00Z,True,True,0.0,28197.76,0.0,504236,will-trump-say-djt-or-donald-trump-coin-during-his-bitcoin-conference-speech
BTC,semantic_proxy,0.054,,,,"Will Trump say ""Bitcoin"" 5+ times during his Bitcoin Conference speech?",2024-07-27T12:00:00Z,True,True,1.0,110332.03,0.0,504227,will-trump-say-bitcoin-5-times-during-his-bitcoin-conference-speech
BTC,semantic_proxy,0.054,,,,"Will Trump say ""MAGA"" during his Bitcoin Conference speech?",2024-07-27T12:00:00Z,True,True,1.0,16137.8,0.0,504228,will-trump-say-maga-during-his-bitcoin-conference-speech
BTC,semantic_proxy,0.054,,,,"Will Trump say ""Ethereum"" during his Bitcoin Conference speech?",2024-07-27T12:00:00Z,True,True,0.0,15804.65,0.0,504229,will-trump-say-ethereum-during-his-bitcoin-conference-speech
ETH,semantic_proxy,0.054,,,,"Will Trump say ""Ethereum"" during his Bitcoin Conference speech?",2024-07-27T12:00:00Z,True,True,0.0,15804.65,0.0,504229,will-trump-say-ethereum-during-his-bitcoin-conference-speech
BTC,semantic_proxy,0.054,,,,"Will Trump say ""Solana"" during his Bitcoin Conference speech?",2024-07-27T12:00:00Z,True,True,0.0,8825.05,0.0,504230,will-trump-say-solana-during-his-bitcoin-conference-speech
BTC,semantic_proxy,0.054,,,,"Will Trump say ""Elizabeth Warren"" during his Bitcoin Conference speech?",2024-07-27T12:00:00Z,True,True,1.0,24783.18,0.0,504231,will-trump-say-elizabeth-warren-during-his-bitcoin-conference-speech
BTC,semantic_proxy,0.054,,,,"Will Trump say ""Kamala Harris"" during his Bitcoin Conference speech?",2024-07-27T12:00:00Z,True,True,1.0,33965.85,0.0,504232,will-trump-say-kamala-harris-during-his-bitcoin-conference-speech
BTC,semantic_proxy,0.054,,,,"Will Trump say ""Barron"" during his Bitcoin Conference speech?",2024-07-27T12:00:00Z,True,True,0.0,60110.7,0.0,504233,will-trump-say-barron-during-his-bitcoin-conference-speech
BTC,semantic_proxy,0.054,,,,"Will Trump say ""Memecoin"" during his Bitcoin Conference speech?",2024-07-27T12:00:00Z,True,True,0.0,12697.98,0.0,504234,will-trump-say-memecoin-during-his-bitcoin-conference-speech
BTC,record_or_race,0.288,,,,Will $BTC reach 70k before September?,2024-08-31T12:00:00Z,True,True,0.0,446467.09,0.0,504258,will-btc-reach-70k-before-september
BTC,record_or_race,0.288,,,,Will $BTC reach 75k before September?,2024-08-31T12:00:00Z,True,True,0.0,225320.85,0.0,504259,will-btc-reach-75k-before-september
BTC,record_or_race,0.288,,,,Will $BTC reach 80k before September?,2024-08-31T12:00:00Z,True,True,0.0,200826.28,0.0,504260,will-btc-reach-80k-before-september
BTC,barrier_threshold,0.576,60000.0,,below,$BTC dips below $60k before September?,2024-08-31T12:00:00Z,True,True,1.0,104050.1,0.0,504262,btc-dips-below-60k-before-september
BTC,barrier_threshold,0.576,55000.0,,below,$BTC dips below $55k before September?,2024-08-31T12:00:00Z,True,True,1.0,50246.57,0.0,504263,btc-dips-below-55k-before-september
BTC,barrier_threshold,0.576,50000.0,,below,$BTC dips below $50k before September?,2024-08-31T12:00:00Z,True,True,1.0,60967.72,0.0,504264,btc-dips-below-50k-before-september
BTC,barrier_threshold,0.576,45000.0,,below,$BTC dips below $45k before September?,2024-08-31T12:00:00Z,True,True,0.0,602663.73,0.0,504265,btc-dips-below-45k-before-september
BTC,barrier_threshold,0.576,65000.0,,below,$BTC dips below $65k before September?,2024-08-31T12:00:00Z,True,True,1.0,27484.19,0.0,504261,btc-dips-below-65k-before-september
BTC,semantic_proxy,0.054,,,,Will US sell Silk Road BTC before election?,2024-11-04T12:00:00Z,True,True,0.0,49136.845737,0.0,504279,will-us-sell-silk-road-btc-before-election
BTC,record_or_race,0.288,,,,Bitcoin all time high in August?,2024-08-31T12:00:00Z,True,True,0.0,397542.28,0.0,504367,bitcoin-all-time-high-in-august
ETH,record_or_race,0.288,,,,Ethereum all time high in August?,2024-08-31T12:00:00Z,True,True,0.0,190485.33,0.0,504368,ethereum-all-time-high-in-august
ETH,close_threshold,1.0,3000.0,,above,"Ethereum above $3,000 on August 9?",2024-08-09T12:00:00Z,True,True,0.0,372132.07,0.0,504476,ethereum-above-3000-on-august-9
BTC,close_threshold,1.0,65000.0,,above,"Bitcoin above $65,000 on August 9?",2024-08-09T12:00:00Z,True,True,0.0,385992.53,0.0,504477,bitcoin-above-65000-on-august-9
BTC,barrier_threshold,0.576,50000.0,,below,$BTC dips below $50k by Friday?,2024-08-09T12:00:00Z,True,True,0.0,59241.55,0.0,504552,btc-dips-below-50k-by-friday-aug5
ETH,barrier_threshold,0.576,2000.0,,below,"$ETH dips below $2,000 by Friday?",2024-08-09T12:00:00Z,True,True,0.0,91808.63,0.0,504557,eth-dips-below-2k-by-friday
BTC,record_or_race,0.288,,,,"Will Bitcoin reach $65,000 before September? ",2024-08-31T12:00:00Z,True,True,1.0,753403.45,0.0,504591,will-bitcoin-reach-65000-before-september
ETH,record_or_race,0.288,,,,"Will Ethereum reach $3,000 before September? ",2024-08-31T12:00:00Z,True,True,0.0,779050.94,0.0,504592,will-ethereum-reach-3000-before-september
ETH,relative_proxy,0.0912,,,,Will $ETH hit $2000 or $4000 first?,2024-12-31T12:00:00Z,True,True,0.0,2221879.948348,0.0,504662,will-eth-hit-2k-or-4k-first
ETH,close_threshold,1.0,2500.0,,above,"Ethereum above $2,500 on August 16?",2024-08-16T12:00:00Z,True,True,1.0,318010.07,0.0,504800,ethereum-above-2500-on-august-16
BTC,close_threshold,1.0,60000.0,,above,"Bitcoin above $60,000 on August 16?",2024-08-16T12:00:00Z,True,True,0.0,840043.04,0.0,504801,bitcoin-above-60000-on-august-16
BTC,institutional_proxy,0.11760000000000001,,,,Swan Bitcoin insolvent by August 31?,2024-08-31T12:00:00Z,True,True,0.0,74121.12,0.0,504973,swan-bitcoin-insolvent-by-august-31
BTC,close_threshold,1.0,60000.0,,above,"Bitcoin above $60,000 on August 23?",2024-08-23T12:00:00Z,True,True,1.0,644186.4,0.0,505205,bitcoin-above-60000-on-august-23
ETH,close_threshold,1.0,2500.0,,above,"Ethereum above $2,500 on August 23?",2024-08-23T12:00:00Z,True,True,1.0,281302.41,0.0,505206,ethereum-above-2500-on-august-23
BTC,close_threshold,1.0,60000.0,,above,"Bitcoin above $60,000 on August 30?",2024-08-30T12:00:00Z,True,True,0.0,1157130.65,0.0,505716,bitcoin-above-60000-on-august-30
ETH,close_threshold,1.0,2500.0,,above,"Ethereum above $2,500 on August 30?",2024-08-30T12:00:00Z,True,True,0.0,555916.29,0.0,505718,ethereum-above-2500-on-august-30
ETH,barrier_threshold,0.576,2000.0,,below,"Ethereum dips below $2,000 by Sept 30?",2024-09-30T12:00:00Z,True,True,0.0,442747.757175,0.0,505943,ethereum-dips-below-2000-by-sept-30-2024
BTC,close_threshold,1.0,60000.0,,above,"Bitcoin above $60,000 on September 6?",2024-09-06T12:00:00Z,True,True,0.0,693333.633404,0.0,506137,bitcoin-above-60000-on-september-6
ETH,close_threshold,1.0,2500.0,,above,"Ethereum above $2,500 on September 6?",2024-09-06T12:00:00Z,True,True,0.0,215320.868632,0.0,506138,ethereum-above-2500-on-september-6
BTC,barrier_threshold,0.576,50000.0,,below,$BTC dips below $50k before October?,2024-09-30T12:00:00Z,True,True,0.0,661747.962922,0.0,506183,btc-dips-below-50k-before-october
BTC,barrier_threshold,0.576,45000.0,,below,$BTC dips below $45k before October?,2024-09-30T12:00:00Z,True,True,0.0,336829.542988,0.0,506185,btc-dips-below-45k-before-october
BTC,barrier_threshold,0.576,40000.0,,below,$BTC dips below $40k before October?,2024-09-30T12:00:00Z,True,True,0.0,779958.982005,0.0,506186,btc-dips-below-40k-before-october
BTC,record_or_race,0.288,,,,Will $BTC reach 75k before October?,2024-09-30T12:00:00Z,True,True,0.0,613246.812594,0.0,506188,will-btc-reach-75k-before-october
BTC,record_or_race,0.288,,,,Will $BTC reach 70k before October?,2024-09-30T12:00:00Z,True,True,0.0,1296559.826547,0.0,506187,will-btc-reach-70k-before-october
BTC,record_or_race,0.288,,,,Will $BTC reach 80k before October?,2024-09-30T12:00:00Z,True,True,0.0,1161626.184801,0.0,506189,will-btc-reach-80k-before-october
ETH,record_or_race,0.288,,,,"Will Ethereum reach $3,000 before October?",2024-09-30T12:00:00Z,True,True,0.0,660103.863772,0.0,506190,will-ethereum-reach-3000-before-october
BTC,close_threshold,1.0,60000.0,,above,"Bitcoin above $60,000 on October 1?",2024-10-01T12:00:00Z,True,True,1.0,527233.404945,0.0,506360,bitcoin-above-60000-on-october-1
BTC,close_threshold,1.0,55000.0,,above,"Bitcoin above $55,000 on September 13?",2024-09-13T12:00:00Z,True,True,1.0,466943.427286,0.0,506492,bitcoin-above-55000-on-september-13
ETH,close_threshold,1.0,2400.0,,above,"Ethereum above $2,400 on September 13?",2024-09-13T12:00:00Z,True,True,1.0,538555.967227,0.0,506494,ethereum-above-2400-on-september-13
BTC,close_threshold,1.0,60000.0,,above,"Bitcoin above $60,000 on September 20?",2024-09-20T12:00:00Z,True,True,1.0,887934.05499,0.0,506969,bitcoin-above-60000-on-september-20
ETH,close_threshold,1.0,2400.0,,above,"Ethereum above $2,400 on September 20?",2024-09-20T12:00:00Z,True,True,1.0,902334.363342,0.0,506970,ethereum-above-2400-on-september-20
BTC,semantic_proxy,0.054,,,,"Will Trump say ""Bitcoin"" 5+ times during the X space?",2024-09-16T12:00:00Z,True,True,0.0,199990.504962,0.0,507024,will-trump-say-bitcoin-5-times-during-the-x-space
ETH,close_threshold,1.0,2500.0,,above,"Ethereum above $2,500 on September 27?",2024-09-27T12:00:00Z,True,True,1.0,268158.412139,0.0,507564,ethereum-above-2500-on-september-27
BTC,close_threshold,1.0,63000.0,,above,"Bitcoin above $63,000 on September 27?",2024-09-27T12:00:00Z,True,True,1.0,906971.27256,0.0,507565,bitcoin-above-63000-on-september-27
BTC,record_or_race,0.288,,,,Bitcoin new all time high in 2024?,2024-12-31T12:00:00Z,True,True,1.0,1453200.678491,0.0,507591,bitcoin-new-all-time-high-in-2024
BTC,close_threshold,1.0,65000.0,,above,"Bitcoin above $65,000 on October 4?",2024-10-04T12:00:00Z,True,True,0.0,940498.58568,0.0,508302,bitcoin-above-65000-on-october-4
ETH,close_threshold,1.0,2600.0,,above,"Ethereum above $2,600 on October 4?",2024-10-04T12:00:00Z,True,True,0.0,382076.610021,0.0,508303,ethereum-above-2600-on-october-4
ETH,record_or_race,0.288,,,,"Will Ethereum reach $3,000 in October? ",2024-10-31T12:00:00Z,True,True,0.0,1382860.126739,0.0,508604,will-ethereum-reach-3000-in-october
ETH,record_or_race,0.288,,,,"Will Ethereum reach $2,750 in October?",2024-10-31T12:00:00Z,True,True,1.0,262451.360301,0.0,508605,will-ethereum-reach-2750-in-october
